Country,Item,Year,Unit,Value
Afghanistan,Population - Est. & Proj.,2020,1000 persons,38972.23
Albania,Population - Est. & Proj.,2020,1000 persons,2866.849
Algeria,Population - Est. & Proj.,2020,1000 persons,43451.666
American Samoa,Population - Est. & Proj.,2020,1000 persons,46.189
Andorra,Population - Est. & Proj.,2020,1000 persons,77.7
Angola,Population - Est. & Proj.,2020,1000 persons,33428.486
Anguilla,Population - Est. & Proj.,2020,1000 persons,15.585
Antigua and Barbuda,Population - Est. & Proj.,2020,1000 persons,92.664
Argentina,Population - Est. & Proj.,2020,1000 persons,45036.032
Armenia,Population - Est. & Proj.,2020,1000 persons,2805.608
Aruba,Population - Est. & Proj.,2020,1000 persons,106.585
Australia,Population - Est. & Proj.,2020,1000 persons,25670.051
Austria,Population - Est. & Proj.,2020,1000 persons,8907.777
Azerbaijan,Population - Est. & Proj.,2020,1000 persons,10284.951
Bahamas,Population - Est. & Proj.,2020,1000 persons,406.471
Bahrain,Population - Est. & Proj.,2020,1000 persons,1477.469
Bangladesh,Population - Est. & Proj.,2020,1000 persons,167420.951
Barbados,Population - Est. & Proj.,2020,1000 persons,280.693
Belarus,Population - Est. & Proj.,2020,1000 persons,9633.74
Belgium,Population - Est. & Proj.,2020,1000 persons,11561.717
Belize,Population - Est. & Proj.,2020,1000 persons,394.921
Benin,Population - Est. & Proj.,2020,1000 persons,12643.123
Bermuda,Population - Est. & Proj.,2020,1000 persons,64.031
Bhutan,Population - Est. & Proj.,2020,1000 persons,772.506
Bolivia,Population - Est. & Proj.,2020,1000 persons,11936.162
"Bonaire, Sint Eustatius and Saba",Population - Est. & Proj.,2020,1000 persons,26.153
Bosnia Herzegovina,Population - Est. & Proj.,2020,1000 persons,3318.407
Botswana,Population - Est. & Proj.,2020,1000 persons,2546.402
Brazil,Population - Est. & Proj.,2020,1000 persons,213196.304
British Virgin Islands,Population - Est. & Proj.,2020,1000 persons,30.91
Brunei Darussalam,Population - Est. & Proj.,2020,1000 persons,441.725
Bulgaria,Population - Est. & Proj.,2020,1000 persons,6979.175
Burkina Faso,Population - Est. & Proj.,2020,1000 persons,21522.626
Burundi,Population - Est. & Proj.,2020,1000 persons,12220.227
Cabo Verde,Population - Est. & Proj.,2020,1000 persons,582.64
Cambodia,Population - Est. & Proj.,2020,1000 persons,16396.86
Cameroon,Population - Est. & Proj.,2020,1000 persons,26491.087
Canada,Population - Est. & Proj.,2020,1000 persons,37888.705
Cayman Islands,Population - Est. & Proj.,2020,1000 persons,67.311
Central African Republic,Population - Est. & Proj.,2020,1000 persons,5343.02
Chad,Population - Est. & Proj.,2020,1000 persons,16644.701
Chile,Population - Est. & Proj.,2020,1000 persons,19300.315
China,Population - Est. & Proj.,2020,1000 persons,1456928.486
"China, Hong Kong SAR",Population - Est. & Proj.,2020,1000 persons,7500.958
"China, Macao SAR",Population - Est. & Proj.,2020,1000 persons,676.283
"China, mainland",Population - Est. & Proj.,2020,1000 persons,1424929.781
"China, Taiwan Province of",Population - Est. & Proj.,2020,1000 persons,23821.464
Colombia,Population - Est. & Proj.,2020,1000 persons,50930.662
Comoros,Population - Est. & Proj.,2020,1000 persons,806.166
Congo Brazzaville,Population - Est. & Proj.,2020,1000 persons,5702.174
Cook Islands,Population - Est. & Proj.,2020,1000 persons,17.029
Costa Rica,Population - Est. & Proj.,2020,1000 persons,5123.105
Côte d'Ivoire,Population - Est. & Proj.,2020,1000 persons,26811.79
Croatia,Population - Est. & Proj.,2020,1000 persons,4096.869
Cuba,Population - Est. & Proj.,2020,1000 persons,11300.698
Curaçao,Population - Est. & Proj.,2020,1000 persons,189.288
Cyprus,Population - Est. & Proj.,2020,1000 persons,1237.537
Czech Republic,Population - Est. & Proj.,2020,1000 persons,10530.953
Democratic People's Republic of Korea,Population - Est. & Proj.,2020,1000 persons,25867.467
Democratic Republic of the Congo,Population - Est. & Proj.,2020,1000 persons,92853.164
Denmark,Population - Est. & Proj.,2020,1000 persons,5825.641
Djibouti,Population - Est. & Proj.,2020,1000 persons,1090.156
Dominica,Population - Est. & Proj.,2020,1000 persons,71.995
Dominican Republic,Population - Est. & Proj.,2020,1000 persons,10999.664
Ecuador,Population - Est. & Proj.,2020,1000 persons,17588.595
Egypt,Population - Est. & Proj.,2020,1000 persons,107465.134
El Salvador,Population - Est. & Proj.,2020,1000 persons,6292.731
Equatorial Guinea,Population - Est. & Proj.,2020,1000 persons,1596.049
Eritrea,Population - Est. & Proj.,2020,1000 persons,3555.868
Estonia,Population - Est. & Proj.,2020,1000 persons,1329.444
Eswatini,Population - Est. & Proj.,2020,1000 persons,1180.655
Ethiopia,Population - Est. & Proj.,2020,1000 persons,117190.911
Falkland Islands (Malvinas),Population - Est. & Proj.,2020,1000 persons,3.747
Faroe Islands,Population - Est. & Proj.,2020,1000 persons,52.415
Fiji,Population - Est. & Proj.,2020,1000 persons,920.422
Finland,Population - Est. & Proj.,2020,1000 persons,5529.468
France,Population - Est. & Proj.,2020,1000 persons,64480.053
French Guyana,Population - Est. & Proj.,2020,1000 persons,290.969
French Polynesia,Population - Est. & Proj.,2020,1000 persons,301.92
Gabon,Population - Est. & Proj.,2020,1000 persons,2292.573
Gambia,Population - Est. & Proj.,2020,1000 persons,2573.995
Georgia,Population - Est. & Proj.,2020,1000 persons,3765.912
Germany,Population - Est. & Proj.,2020,1000 persons,83328.988
Ghana,Population - Est. & Proj.,2020,1000 persons,32180.401
Gibraltar,Population - Est. & Proj.,2020,1000 persons,32.709
Greece,Population - Est. & Proj.,2020,1000 persons,10512.232
Greenland,Population - Est. & Proj.,2020,1000 persons,56.026
Grenada,Population - Est. & Proj.,2020,1000 persons,123.663
Guadeloupe,Population - Est. & Proj.,2020,1000 persons,395.642
Guam,Population - Est. & Proj.,2020,1000 persons,169.231
Guatemala,Population - Est. & Proj.,2020,1000 persons,17362.718
Guinea,Population - Est. & Proj.,2020,1000 persons,13205.153
Guinea-Bissau,Population - Est. & Proj.,2020,1000 persons,2015.828
Guyana,Population - Est. & Proj.,2020,1000 persons,797.202
Haiti,Population - Est. & Proj.,2020,1000 persons,11306.801
Holy See,Population - Est. & Proj.,2020,1000 persons,0.52
Honduras,Population - Est. & Proj.,2020,1000 persons,10121.763
Hungary,Population - Est. & Proj.,2020,1000 persons,9750.573
Iceland,Population - Est. & Proj.,2020,1000 persons,366.669
India,Population - Est. & Proj.,2020,1000 persons,1396387.127
Indonesia,Population - Est. & Proj.,2020,1000 persons,271857.97
Iran (Islamic Republic of),Population - Est. & Proj.,2020,1000 persons,87290.193
Iraq,Population - Est. & Proj.,2020,1000 persons,42556.984
Ireland,Population - Est. & Proj.,2020,1000 persons,4946.119
Isle of Man,Population - Est. & Proj.,2020,1000 persons,84.046
Israel,Population - Est. & Proj.,2020,1000 persons,8757.489
Italy,Population - Est. & Proj.,2020,1000 persons,59500.579
Jamaica,Population - Est. & Proj.,2020,1000 persons,2820.436
Japan,Population - Est. & Proj.,2020,1000 persons,125244.761
Jordan,Population - Est. & Proj.,2020,1000 persons,10928.721
Kazakhstan,Population - Est. & Proj.,2020,1000 persons,18979.243
Kenya,Population - Est. & Proj.,2020,1000 persons,51985.78
Kiribati,Population - Est. & Proj.,2020,1000 persons,126.463
Kuwait,Population - Est. & Proj.,2020,1000 persons,4360.444
Kyrgyzstan,Population - Est. & Proj.,2020,1000 persons,6424.874
Lao People's Democratic Republic,Population - Est. & Proj.,2020,1000 persons,7319.399
Latvia,Population - Est. & Proj.,2020,1000 persons,1897.052
Lebanon,Population - Est. & Proj.,2020,1000 persons,5662.923
Lesotho,Population - Est. & Proj.,2020,1000 persons,2254.1
Liberia,Population - Est. & Proj.,2020,1000 persons,5087.584
Libya,Population - Est. & Proj.,2020,1000 persons,6653.942
Liechtenstein,Population - Est. & Proj.,2020,1000 persons,38.756
Lithuania,Population - Est. & Proj.,2020,1000 persons,2820.267
Luxembourg,Population - Est. & Proj.,2020,1000 persons,630.399
Madagascar,Population - Est. & Proj.,2020,1000 persons,28225.177
Malawi,Population - Est. & Proj.,2020,1000 persons,19377.061
Malaysia,Population - Est. & Proj.,2020,1000 persons,33199.993
Maldives,Population - Est. & Proj.,2020,1000 persons,514.438
Mali,Population - Est. & Proj.,2020,1000 persons,21224.04
Malta,Population - Est. & Proj.,2020,1000 persons,515.358
Marshall Islands,Population - Est. & Proj.,2020,1000 persons,43.413
Martinique,Population - Est. & Proj.,2020,1000 persons,370.391
Mauritania,Population - Est. & Proj.,2020,1000 persons,4498.604
Mauritius,Population - Est. & Proj.,2020,1000 persons,1297.828
Mayotte,Population - Est. & Proj.,2020,1000 persons,305.587
Mexico,Population - Est. & Proj.,2020,1000 persons,125998.302
Micronesia (Federated States of),Population - Est. & Proj.,2020,1000 persons,112.106
Monaco,Population - Est. & Proj.,2020,1000 persons,36.922
Mongolia,Population - Est. & Proj.,2020,1000 persons,3294.335
Montenegro,Population - Est. & Proj.,2020,1000 persons,629.048
Montserrat,Population - Est. & Proj.,2020,1000 persons,4.5
Morocco,Population - Est. & Proj.,2020,1000 persons,36688.772
Mozambique,Population - Est. & Proj.,2020,1000 persons,31178.239
Myanmar,Population - Est. & Proj.,2020,1000 persons,53423.198
Namibia,Population - Est. & Proj.,2020,1000 persons,2489.098
Nauru,Population - Est. & Proj.,2020,1000 persons,12.315
Nepal,Population - Est. & Proj.,2020,1000 persons,29348.627
Netherlands,Population - Est. & Proj.,2020,1000 persons,17434.557
New Caledonia,Population - Est. & Proj.,2020,1000 persons,286.403
New Zealand,Population - Est. & Proj.,2020,1000 persons,5061.133
Nicaragua,Population - Est. & Proj.,2020,1000 persons,6755.895
Niger,Population - Est. & Proj.,2020,1000 persons,24333.639
Nigeria,Population - Est. & Proj.,2020,1000 persons,208327.405
Niue,Population - Est. & Proj.,2020,1000 persons,1.942
North Macedonia,Population - Est. & Proj.,2020,1000 persons,2111.072
Northern Mariana Islands,Population - Est. & Proj.,2020,1000 persons,49.587
Norway,Population - Est. & Proj.,2020,1000 persons,5379.839
Oman,Population - Est. & Proj.,2020,1000 persons,4543.399
Pakistan,Population - Est. & Proj.,2020,1000 persons,227196.741
Palau,Population - Est. & Proj.,2020,1000 persons,17.972
Palestine,Population - Est. & Proj.,2020,1000 persons,5019.401
Panama,Population - Est. & Proj.,2020,1000 persons,4294.396
Papua New Guinea,Population - Est. & Proj.,2020,1000 persons,9749.64
Paraguay,Population - Est. & Proj.,2020,1000 persons,6618.695
Peru,Population - Est. & Proj.,2020,1000 persons,33304.756
Philippines,Population - Est. & Proj.,2020,1000 persons,112190.977
Poland,Population - Est. & Proj.,2020,1000 persons,38428.366
Portugal,Population - Est. & Proj.,2020,1000 persons,10298.192
Puerto Rico,Population - Est. & Proj.,2020,1000 persons,3271.564
Qatar,Population - Est. & Proj.,2020,1000 persons,2760.385
Republic of Korea,Population - Est. & Proj.,2020,1000 persons,51844.69
Republic of Moldova,Population - Est. & Proj.,2020,1000 persons,3084.847
Réunion,Population - Est. & Proj.,2020,1000 persons,957.822
Romania,Population - Est. & Proj.,2020,1000 persons,19442.038
Russian Federation,Population - Est. & Proj.,2020,1000 persons,145617.329
Rwanda,Population - Est. & Proj.,2020,1000 persons,13146.362
Saint Barthélemy,Population - Est. & Proj.,2020,1000 persons,10.681
"Saint Helena, Ascension and Tristan da Cunha",Population - Est. & Proj.,2020,1000 persons,5.42
Saint Kitts and Nevis,Population - Est. & Proj.,2020,1000 persons,47.642
Saint Lucia,Population - Est. & Proj.,2020,1000 persons,179.237
Saint Pierre and Miquelon,Population - Est. & Proj.,2020,1000 persons,5.906
Saint Vincent and the Grenadines,Population - Est. & Proj.,2020,1000 persons,104.632
Saint-Martin (French part),Population - Est. & Proj.,2020,1000 persons,32.553
Samoa,Population - Est. & Proj.,2020,1000 persons,214.929
San Marino,Population - Est. & Proj.,2020,1000 persons,34.007
Sao Tome and Principe,Population - Est. & Proj.,2020,1000 persons,218.641
Saudi Arabia,Population - Est. & Proj.,2020,1000 persons,35997.107
Senegal,Population - Est. & Proj.,2020,1000 persons,16436.12
Serbia,Population - Est. & Proj.,2020,1000 persons,7358.005
Seychelles,Population - Est. & Proj.,2020,1000 persons,105.53
Sierra Leone,Population - Est. & Proj.,2020,1000 persons,8233.97
Singapore,Population - Est. & Proj.,2020,1000 persons,5909.869
Sint Maarten (Dutch part),Population - Est. & Proj.,2020,1000 persons,43.621
Slovakia,Population - Est. & Proj.,2020,1000 persons,5456.681
Slovenia,Population - Est. & Proj.,2020,1000 persons,2117.641
Solomon Islands,Population - Est. & Proj.,2020,1000 persons,691.191
Somalia,Population - Est. & Proj.,2020,1000 persons,16537.016
South Africa,Population - Est. & Proj.,2020,1000 persons,58801.927
South Sudan,Population - Est. & Proj.,2020,1000 persons,10606.227
Spain,Population - Est. & Proj.,2020,1000 persons,47363.807
Sri Lanka,Population - Est. & Proj.,2020,1000 persons,21715.079
Sudan,Population - Est. & Proj.,2020,1000 persons,44440.486
Suriname,Population - Est. & Proj.,2020,1000 persons,607.065
Sweden,Population - Est. & Proj.,2020,1000 persons,10368.969
Switzerland,Population - Est. & Proj.,2020,1000 persons,8638.613
Syrian Arab Republic,Population - Est. & Proj.,2020,1000 persons,20772.595
Tajikistan,Population - Est. & Proj.,2020,1000 persons,9543.207
Thailand,Population - Est. & Proj.,2020,1000 persons,71475.664
Timor-Leste,Population - Est. & Proj.,2020,1000 persons,1299.995
Togo,Population - Est. & Proj.,2020,1000 persons,8442.58
Tokelau,Population - Est. & Proj.,2020,1000 persons,1.827
Tonga,Population - Est. & Proj.,2020,1000 persons,105.254
Trinidad and Tobago,Population - Est. & Proj.,2020,1000 persons,1518.147
Tunisia,Population - Est. & Proj.,2020,1000 persons,12161.723
Turkey,Population - Est. & Proj.,2020,1000 persons,84135.428
Turkmenistan,Population - Est. & Proj.,2020,1000 persons,6250.438
Turks and Caicos Islands,Population - Est. & Proj.,2020,1000 persons,44.276
Tuvalu,Population - Est. & Proj.,2020,1000 persons,11.069
Uganda,Population - Est. & Proj.,2020,1000 persons,44404.611
Ukraine,Population - Est. & Proj.,2020,1000 persons,43909.666
United Arab Emirates,Population - Est. & Proj.,2020,1000 persons,9287.289
United Kingdom,Population - Est. & Proj.,2020,1000 persons,67059.474
United Republic of Tanzania,Population - Est. & Proj.,2020,1000 persons,61704.518
United States of America,Population - Est. & Proj.,2020,1000 persons,335942.003
United States Virgin Islands,Population - Est. & Proj.,2020,1000 persons,100.442
Uruguay,Population - Est. & Proj.,2020,1000 persons,3429.086
Uzbekistan,Population - Est. & Proj.,2020,1000 persons,33526.656
Vanuatu,Population - Est. & Proj.,2020,1000 persons,311.685
Venezuela (Bolivarian Republic of),Population - Est. & Proj.,2020,1000 persons,28490.453
Viet Nam,Population - Est. & Proj.,2020,1000 persons,96648.685
Wallis and Futuna Islands,Population - Est. & Proj.,2020,1000 persons,11.655
Western Sahara,Population - Est. & Proj.,2020,1000 persons,556.048
Yemen,Population - Est. & Proj.,2020,1000 persons,32284.046
Zambia,Population - Est. & Proj.,2020,1000 persons,18927.715
Zimbabwe,Population - Est. & Proj.,2020,1000 persons,15669.666
